state_nameA,state_nameB,year,atopally,defense,offense,neutral,nonagg,consul,shareob,transyr,bilatno,multino,number,asymm,stateA,stateB,version,atopids
United States of America,Montenegro,2018,1,1,0,0,1,1,,0,0,2,2,0,2,341,5.1,"[3180.0, 3740.0]"
United States of America,Macedonia,2018,1,0,0,0,1,0,,0,0,1,1,0,2,343,5.1,[3740.0]
United States of America,Croatia,2018,1,1,0,0,1,1,,0,0,2,2,0,2,344,5.1,"[3180.0, 3740.0]"
United States of America,Yugoslavia,2018,1,0,0,0,1,0,,0,0,1,1,0,2,345,5.1,[3740.0]
United States of America,Bosnia and Herzegovina,2018,1,0,0,0,1,0,,0,0,1,1,0,2,346,5.1,[3740.0]
United States of America,Slovenia,2018,1,1,0,0,1,1,,0,0,2,2,0,2,349,5.1,"[3180.0, 3740.0]"
United States of America,Greece,2018,1,1,0,0,1,1,,0,0,2,2,0,2,350,5.1,"[3180.0, 3740.0]"
United States of America,Cyprus,2018,1,0,0,0,1,0,,0,0,1,1,0,2,352,5.1,[3740.0]
United States of America,Bulgaria,2018,1,1,0,0,1,1,,0,0,2,2,0,2,355,5.1,"[3180.0, 3740.0]"
United States of America,Moldova,2018,1,0,0,0,1,0,,0,0,1,1,0,2,359,5.1,[3740.0]
United States of America,Romania,2018,1,1,0,0,1,1,,0,0,2,2,0,2,360,5.1,"[3180.0, 3740.0]"
United States of America,Russia,2018,1,0,0,0,1,0,,0,1,2,3,0,2,365,5.1,"[3740.0, 3755.0, 4265.0]"
United States of America,Estonia,2018,1,1,0,0,1,1,,0,0,2,2,0,2,366,5.1,"[3180.0, 3740.0]"
United States of America,Latvia,2018,1,1,0,0,1,1,,0,0,2,2,0,2,367,5.1,"[3180.0, 3740.0]"
United States of America,Lithuania,2018,1,1,0,0,1,1,,0,0,2,2,0,2,368,5.1,"[3180.0, 3740.0]"
United States of America,Ukraine,2018,1,0,0,0,1,0,,0,0,1,1,0,2,369,5.1,[3740.0]
United States of America,Belarus,2018,1,0,0,0,1,0,,0,0,1,1,0,2,370,5.1,[3740.0]
United States of America,Armenia,2018,1,0,0,0,1,0,,0,0,1,1,0,2,371,5.1,[3740.0]
United States of America,Georgia,2018,1,0,0,0,1,0,,0,0,1,1,0,2,372,5.1,[3740.0]
United States of America,Azerbaijan,2018,1,0,0,0,1,0,,0,0,1,1,0,2,373,5.1,[3740.0]
United States of America,Finland,2018,1,0,0,0,1,0,,0,0,1,1,0,2,375,5.1,[3740.0]
United States of America,Sweden,2018,1,0,0,0,1,0,,0,0,1,1,0,2,380,5.1,[3740.0]
United States of America,Norway,2018,1,1,0,0,1,1,,0,0,3,3,0,2,385,5.1,"[3180.0, 3740.0, 3755.0]"
United States of America,Denmark,2018,1,1,0,0,1,1,,0,0,2,2,0,2,390,5.1,"[3180.0, 3740.0]"
United States of America,Iceland,2018,1,1,0,0,1,1,,0,0,2,2,0,2,395,5.1,"[3180.0, 3740.0]"
United States of America,Liberia,2018,1,0,0,0,0,1,,0,1,0,1,0,2,450,5.1,[3370.0]
United States of America,Morocco,2018,1,0,0,0,1,0,,0,0,1,1,0,2,600,5.1,[3755.0]
United States of America,Turkey,2018,1,1,0,0,1,1,,0,1,3,4,1,2,640,5.1,"[3180.0, 3360.0, 3740.0, 3755.0]"
United States of America,Iraq,2018,1,0,0,0,1,0,,0,1,0,1,0,2,645,5.1,[6032.0]
United States of America,Egypt,2018,1,0,0,0,1,0,,0,0,1,1,0,2,651,5.1,[3755.0]
United States of America,Afghanistan,2018,1,0,0,0,0,1,,0,1,0,1,0,2,700,5.1,[6050.0]
United States of America,Turkmenistan,2018,1,0,0,0,1,0,,0,0,1,1,0,2,701,5.1,[3740.0]
United States of America,Tajikistan,2018,1,0,0,0,1,0,,0,0,1,1,0,2,702,5.1,[3740.0]
United States of America,Kyrgyzstan,2018,1,0,0,0,1,0,,0,0,1,1,0,2,703,5.1,[3740.0]
United States of America,Uzbekistan,2018,1,0,0,0,1,1,,0,1,1,2,1,2,704,5.1,"[3740.0, 4998.0]"
United States of America,Kazakhstan,2018,1,0,0,0,1,0,,0,0,1,1,0,2,705,5.1,[3740.0]
United States of America,China,2018,1,0,0,0,1,0,,0,0,1,1,0,2,710,5.1,[3755.0]
United States of America,Mongolia,2018,1,0,0,0,1,0,,0,0,2,2,0,2,712,5.1,"[3740.0, 3755.0]"
United States of America,North Korea,2018,1,0,0,0,1,0,,0,0,1,1,0,2,731,5.1,[3755.0]
United States of America,South Korea,2018,1,1,0,0,1,1,,0,1,1,2,1,2,732,5.1,"[3240.0, 3755.0]"
United States of America,Japan,2018,1,1,0,0,1,1,,0,1,1,2,1,2,740,5.1,"[3375.0, 3755.0]"
United States of America,India,2018,1,0,0,0,1,0,,0,0,1,1,0,2,750,5.1,[3755.0]
United States of America,Pakistan,2018,1,1,0,0,1,1,,0,1,1,2,1,2,770,5.1,"[3355.0, 3755.0]"
United States of America,Bangladesh,2018,1,0,0,0,1,0,,0,0,1,1,0,2,771,5.1,[3755.0]
United States of America,Myanmar,2018,1,0,0,0,1,0,,0,0,1,1,0,2,775,5.1,[3755.0]
United States of America,Sri Lanka,2018,1,0,0,0,1,0,,0,0,1,1,0,2,780,5.1,[3755.0]
United States of America,Thailand,2018,1,1,0,0,1,1,,0,1,1,2,0,2,800,5.1,"[3260.0, 3755.0]"
United States of America,Cambodia,2018,1,0,0,0,1,0,,0,0,1,1,0,2,811,5.1,[3755.0]
United States of America,Laos,2018,1,0,0,0,1,0,,0,0,1,1,0,2,812,5.1,[3755.0]
United States of America,Vietnam,2018,1,0,0,0,1,0,,0,0,1,1,0,2,816,5.1,[3755.0]
United States of America,Malaysia,2018,1,0,0,0,1,0,,0,0,1,1,0,2,820,5.1,[3755.0]
United States of America,Singapore,2018,1,0,0,0,1,0,,0,0,1,1,0,2,830,5.1,[3755.0]
United States of America,Brunei,2018,1,0,0,0,1,0,,0,0,1,1,0,2,835,5.1,[3755.0]
United States of America,Philippines,2018,1,1,0,0,1,1,,0,1,1,2,0,2,840,5.1,"[3210.0, 3755.0]"
United States of America,Indonesia,2018,1,0,0,0,1,0,,0,0,1,1,0,2,850,5.1,[3755.0]
United States of America,East Timor,2018,1,0,0,0,1,0,,0,0,1,1,0,2,860,5.1,[3755.0]
United States of America,Australia,2018,1,1,0,0,1,1,,0,0,2,2,0,2,900,5.1,"[3215.0, 3755.0]"
United States of America,Papua New Guinea,2018,1,0,0,0,1,0,,0,0,1,1,0,2,910,5.1,[3755.0]
United States of America,New Zealand,2018,1,0,0,0,1,0,,0,0,1,1,0,2,920,5.1,[3755.0]
United States of America,Kiribati,2018,1,0,0,0,0,1,,0,1,0,1,0,2,946,5.1,[3852.0]
United States of America,Tuvalu,2018,1,0,0,0,0,1,,0,1,0,1,0,2,947,5.1,[3842.0]
Canada,United States of America,2018,1,1,0,0,1,1,,0,0,3,3,0,20,2,5.1,"[3180.0, 3740.0, 3755.0]"
Canada,Brazil,2018,1,0,0,0,1,0,,0,0,1,1,0,20,140,5.1,[3755.0]
Canada,Chile,2018,1,0,0,0,1,0,,0,0,1,1,0,20,155,5.1,[3755.0]
Canada,United Kingdom,2018,1,1,0,0,1,1,,0,0,3,3,0,20,200,5.1,"[3180.0, 3740.0, 3755.0]"
Canada,Ireland,2018,1,0,0,0,1,0,,0,0,1,1,0,20,205,5.1,[3740.0]
Canada,Netherlands,2018,1,1,0,0,1,1,,0,0,2,2,0,20,210,5.1,"[3180.0, 3740.0]"
Canada,Belgium,2018,1,1,0,0,1,1,,0,0,2,2,0,20,211,5.1,"[3180.0, 3740.0]"
Canada,Luxembourg,2018,1,1,0,0,1,1,,0,0,2,2,0,20,212,5.1,"[3180.0, 3740.0]"
Canada,France,2018,1,1,0,0,1,1,,0,0,3,3,0,20,220,5.1,"[3180.0, 3740.0, 3755.0]"
Canada,Monaco,2018,1,0,0,0,1,0,,0,0,1,1,0,20,221,5.1,[3740.0]
Canada,Liechtenstein,2018,1,0,0,0,1,0,,0,0,1,1,0,20,223,5.1,[3740.0]
Canada,Switzerland,2018,1,0,0,0,1,0,,0,0,1,1,0,20,225,5.1,[3740.0]
Canada,Spain,2018,1,1,0,0,1,1,,0,0,2,2,0,20,230,5.1,"[3180.0, 3740.0]"
Canada,Andorra,2018,1,0,0,0,1,0,,0,0,1,1,0,20,232,5.1,[3740.0]
Canada,Portugal,2018,1,1,0,0,1,1,,0,0,2,2,0,20,235,5.1,"[3180.0, 3740.0]"
Canada,Germany,2018,1,1,0,0,1,1,,0,0,2,2,0,20,255,5.1,"[3180.0, 3740.0]"
Canada,Poland,2018,1,1,0,0,1,1,,0,0,2,2,0,20,290,5.1,"[3180.0, 3740.0]"
Canada,Austria,2018,1,0,0,0,1,0,,0,0,1,1,0,20,305,5.1,[3740.0]
Canada,Hungary,2018,1,1,0,0,1,1,,0,0,2,2,0,20,310,5.1,"[3180.0, 3740.0]"
Canada,Czech Republic,2018,1,1,0,0,1,1,,0,0,2,2,0,20,316,5.1,"[3180.0, 3740.0]"
Canada,Slovakia,2018,1,1,0,0,1,1,,0,0,2,2,0,20,317,5.1,"[3180.0, 3740.0]"
Canada,Italy,2018,1,1,0,0,1,1,,0,0,2,2,0,20,325,5.1,"[3180.0, 3740.0]"
Canada,San Marino,2018,1,0,0,0,1,0,,0,0,1,1,0,20,331,5.1,[3740.0]
Canada,Malta,2018,1,0,0,0,1,0,,0,0,1,1,0,20,338,5.1,[3740.0]
Canada,Albania,2018,1,1,0,0,1,1,,0,0,2,2,0,20,339,5.1,"[3180.0, 3740.0]"
Canada,Montenegro,2018,1,1,0,0,1,1,,0,0,2,2,0,20,341,5.1,"[3180.0, 3740.0]"
Canada,Macedonia,2018,1,0,0,0,1,0,,0,0,1,1,0,20,343,5.1,[3740.0]
Canada,Croatia,2018,1,1,0,0,1,1,,0,0,2,2,0,20,344,5.1,"[3180.0, 3740.0]"
Canada,Yugoslavia,2018,1,0,0,0,1,0,,0,0,1,1,0,20,345,5.1,[3740.0]
Canada,Bosnia and Herzegovina,2018,1,0,0,0,1,0,,0,0,1,1,0,20,346,5.1,[3740.0]
Canada,Slovenia,2018,1,1,0,0,1,1,,0,0,2,2,0,20,349,5.1,"[3180.0, 3740.0]"
Canada,Greece,2018,1,1,0,0,1,1,,0,0,2,2,0,20,350,5.1,"[3180.0, 3740.0]"
Canada,Cyprus,2018,1,0,0,0,1,0,,0,0,1,1,0,20,352,5.1,[3740.0]
Canada,Bulgaria,2018,1,1,0,0,1,1,,0,0,2,2,0,20,355,5.1,"[3180.0, 3740.0]"
Canada,Moldova,2018,1,0,0,0,1,0,,0,0,1,1,0,20,359,5.1,[3740.0]
Canada,Romania,2018,1,1,0,0,1,1,,0,0,2,2,0,20,360,5.1,"[3180.0, 3740.0]"
Canada,Russia,2018,1,0,0,1,1,0,,0,1,2,3,0,20,365,5.1,"[3740.0, 3755.0, 4270.0]"
Canada,Estonia,2018,1,1,0,0,1,1,,0,0,2,2,0,20,366,5.1,"[3180.0, 3740.0]"
Canada,Latvia,2018,1,1,0,0,1,1,,0,0,2,2,0,20,367,5.1,"[3180.0, 3740.0]"
Canada,Lithuania,2018,1,1,0,0,1,1,,0,0,2,2,0,20,368,5.1,"[3180.0, 3740.0]"
Canada,Ukraine,2018,1,0,0,0,1,0,,0,1,1,2,0,20,369,5.1,"[3740.0, 4638.0]"
Canada,Belarus,2018,1,0,0,0,1,0,,0,0,1,1,0,20,370,5.1,[3740.0]
Canada,Armenia,2018,1,0,0,0,1,0,,0,0,1,1,0,20,371,5.1,[3740.0]
Canada,Georgia,2018,1,0,0,0,1,0,,0,0,1,1,0,20,372,5.1,[3740.0]
Canada,Azerbaijan,2018,1,0,0,0,1,0,,0,0,1,1,0,20,373,5.1,[3740.0]
Canada,Finland,2018,1,0,0,0,1,0,,0,0,1,1,0,20,375,5.1,[3740.0]
Canada,Sweden,2018,1,0,0,0,1,0,,0,0,1,1,0,20,380,5.1,[3740.0]
Canada,Norway,2018,1,1,0,0,1,1,,0,0,3,3,0,20,385,5.1,"[3180.0, 3740.0, 3755.0]"
Canada,Denmark,2018,1,1,0,0,1,1,,0,0,2,2,0,20,390,5.1,"[3180.0, 3740.0]"
Canada,Iceland,2018,1,1,0,0,1,1,,0,0,2,2,0,20,395,5.1,"[3180.0, 3740.0]"
Canada,Morocco,2018,1,0,0,0,1,0,,0,0,1,1,0,20,600,5.1,[3755.0]
Canada,Turkey,2018,1,1,0,0,1,1,,0,0,3,3,0,20,640,5.1,"[3180.0, 3740.0, 3755.0]"
Canada,Egypt,2018,1,0,0,0,1,0,,0,0,1,1,0,20,651,5.1,[3755.0]
Canada,Turkmenistan,2018,1,0,0,0,1,0,,0,0,1,1,0,20,701,5.1,[3740.0]
Canada,Tajikistan,2018,1,0,0,0,1,0,,0,0,1,1,0,20,702,5.1,[3740.0]
Canada,Kyrgyzstan,2018,1,0,0,0,1,0,,0,0,1,1,0,20,703,5.1,[3740.0]
Canada,Uzbekistan,2018,1,0,0,0,1,0,,0,0,1,1,0,20,704,5.1,[3740.0]
Canada,Kazakhstan,2018,1,0,0,0,1,0,,0,0,1,1,0,20,705,5.1,[3740.0]
Canada,China,2018,1,0,0,0,1,0,,0,0,1,1,0,20,710,5.1,[3755.0]
Canada,Mongolia,2018,1,0,0,0,1,0,,0,0,2,2,0,20,712,5.1,"[3740.0, 3755.0]"
Canada,North Korea,2018,1,0,0,0,1,0,,0,0,1,1,0,20,731,5.1,[3755.0]
Canada,South Korea,2018,1,0,0,0,1,0,,0,0,1,1,0,20,732,5.1,[3755.0]
Canada,Japan,2018,1,0,0,0,1,0,,0,0,1,1,0,20,740,5.1,[3755.0]
Canada,India,2018,1,0,0,0,1,0,,0,0,1,1,0,20,750,5.1,[3755.0]
Canada,Pakistan,2018,1,0,0,0,1,0,,0,0,1,1,0,20,770,5.1,[3755.0]
Canada,Bangladesh,2018,1,0,0,0,1,0,,0,0,1,1,0,20,771,5.1,[3755.0]
Canada,Myanmar,2018,1,0,0,0,1,0,,0,0,1,1,0,20,775,5.1,[3755.0]
