state_nameA,state_nameB,year,atopally,defense,offense,neutral,nonagg,consul,shareob,transyr,bilatno,multino,number,asymm,stateA,stateB,version,atopids,state_nameA,state_nameB
United States of America,Montenegro,2018,1,1,0,0,1,1,,0,0,2,2,0,2,341,5.1,"[3180.0, 3740.0]",United States of America,Montenegro
United States of America,Macedonia,2018,1,0,0,0,1,0,,0,0,1,1,0,2,343,5.1,[3740.0],United States of America,Macedonia
United States of America,Croatia,2018,1,1,0,0,1,1,,0,0,2,2,0,2,344,5.1,"[3180.0, 3740.0]",United States of America,Croatia
United States of America,Yugoslavia,2018,1,0,0,0,1,0,,0,0,1,1,0,2,345,5.1,[3740.0],United States of America,Yugoslavia
United States of America,Bosnia and Herzegovina,2018,1,0,0,0,1,0,,0,0,1,1,0,2,346,5.1,[3740.0],United States of America,Bosnia and Herzegovina
United States of America,Slovenia,2018,1,1,0,0,1,1,,0,0,2,2,0,2,349,5.1,"[3180.0, 3740.0]",United States of America,Slovenia
United States of America,Greece,2018,1,1,0,0,1,1,,0,0,2,2,0,2,350,5.1,"[3180.0, 3740.0]",United States of America,Greece
United States of America,Cyprus,2018,1,0,0,0,1,0,,0,0,1,1,0,2,352,5.1,[3740.0],United States of America,Cyprus
United States of America,Bulgaria,2018,1,1,0,0,1,1,,0,0,2,2,0,2,355,5.1,"[3180.0, 3740.0]",United States of America,Bulgaria
United States of America,Moldova,2018,1,0,0,0,1,0,,0,0,1,1,0,2,359,5.1,[3740.0],United States of America,Moldova
United States of America,Romania,2018,1,1,0,0,1,1,,0,0,2,2,0,2,360,5.1,"[3180.0, 3740.0]",United States of America,Romania
United States of America,Russia,2018,1,0,0,0,1,0,,0,1,2,3,0,2,365,5.1,"[3740.0, 3755.0, 4265.0]",United States of America,Russia
United States of America,Estonia,2018,1,1,0,0,1,1,,0,0,2,2,0,2,366,5.1,"[3180.0, 3740.0]",United States of America,Estonia
United States of America,Latvia,2018,1,1,0,0,1,1,,0,0,2,2,0,2,367,5.1,"[3180.0, 3740.0]",United States of America,Latvia
United States of America,Lithuania,2018,1,1,0,0,1,1,,0,0,2,2,0,2,368,5.1,"[3180.0, 3740.0]",United States of America,Lithuania
United States of America,Ukraine,2018,1,0,0,0,1,0,,0,0,1,1,0,2,369,5.1,[3740.0],United States of America,Ukraine
United States of America,Belarus,2018,1,0,0,0,1,0,,0,0,1,1,0,2,370,5.1,[3740.0],United States of America,Belarus
United States of America,Armenia,2018,1,0,0,0,1,0,,0,0,1,1,0,2,371,5.1,[3740.0],United States of America,Armenia
United States of America,Georgia,2018,1,0,0,0,1,0,,0,0,1,1,0,2,372,5.1,[3740.0],United States of America,Georgia
United States of America,Azerbaijan,2018,1,0,0,0,1,0,,0,0,1,1,0,2,373,5.1,[3740.0],United States of America,Azerbaijan
United States of America,Finland,2018,1,0,0,0,1,0,,0,0,1,1,0,2,375,5.1,[3740.0],United States of America,Finland
United States of America,Sweden,2018,1,0,0,0,1,0,,0,0,1,1,0,2,380,5.1,[3740.0],United States of America,Sweden
United States of America,Norway,2018,1,1,0,0,1,1,,0,0,3,3,0,2,385,5.1,"[3180.0, 3740.0, 3755.0]",United States of America,Norway
United States of America,Denmark,2018,1,1,0,0,1,1,,0,0,2,2,0,2,390,5.1,"[3180.0, 3740.0]",United States of America,Denmark
United States of America,Iceland,2018,1,1,0,0,1,1,,0,0,2,2,0,2,395,5.1,"[3180.0, 3740.0]",United States of America,Iceland
United States of America,Liberia,2018,1,0,0,0,0,1,,0,1,0,1,0,2,450,5.1,[3370.0],United States of America,Liberia
United States of America,Morocco,2018,1,0,0,0,1,0,,0,0,1,1,0,2,600,5.1,[3755.0],United States of America,Morocco
United States of America,Turkey,2018,1,1,0,0,1,1,,0,1,3,4,1,2,640,5.1,"[3180.0, 3360.0, 3740.0, 3755.0]",United States of America,Turkey
United States of America,Iraq,2018,1,0,0,0,1,0,,0,1,0,1,0,2,645,5.1,[6032.0],United States of America,Iraq
United States of America,Egypt,2018,1,0,0,0,1,0,,0,0,1,1,0,2,651,5.1,[3755.0],United States of America,Egypt
United States of America,Afghanistan,2018,1,0,0,0,0,1,,0,1,0,1,0,2,700,5.1,[6050.0],United States of America,Afghanistan
United States of America,Turkmenistan,2018,1,0,0,0,1,0,,0,0,1,1,0,2,701,5.1,[3740.0],United States of America,Turkmenistan
United States of America,Tajikistan,2018,1,0,0,0,1,0,,0,0,1,1,0,2,702,5.1,[3740.0],United States of America,Tajikistan
United States of America,Kyrgyzstan,2018,1,0,0,0,1,0,,0,0,1,1,0,2,703,5.1,[3740.0],United States of America,Kyrgyzstan
United States of America,Uzbekistan,2018,1,0,0,0,1,1,,0,1,1,2,1,2,704,5.1,"[3740.0, 4998.0]",United States of America,Uzbekistan
United States of America,Kazakhstan,2018,1,0,0,0,1,0,,0,0,1,1,0,2,705,5.1,[3740.0],United States of America,Kazakhstan
United States of America,China,2018,1,0,0,0,1,0,,0,0,1,1,0,2,710,5.1,[3755.0],United States of America,China
United States of America,Mongolia,2018,1,0,0,0,1,0,,0,0,2,2,0,2,712,5.1,"[3740.0, 3755.0]",United States of America,Mongolia
United States of America,North Korea,2018,1,0,0,0,1,0,,0,0,1,1,0,2,731,5.1,[3755.0],United States of America,North Korea
United States of America,South Korea,2018,1,1,0,0,1,1,,0,1,1,2,1,2,732,5.1,"[3240.0, 3755.0]",United States of America,South Korea
United States of America,Japan,2018,1,1,0,0,1,1,,0,1,1,2,1,2,740,5.1,"[3375.0, 3755.0]",United States of America,Japan
United States of America,India,2018,1,0,0,0,1,0,,0,0,1,1,0,2,750,5.1,[3755.0],United States of America,India
United States of America,Pakistan,2018,1,1,0,0,1,1,,0,1,1,2,1,2,770,5.1,"[3355.0, 3755.0]",United States of America,Pakistan
United States of America,Bangladesh,2018,1,0,0,0,1,0,,0,0,1,1,0,2,771,5.1,[3755.0],United States of America,Bangladesh
United States of America,Myanmar,2018,1,0,0,0,1,0,,0,0,1,1,0,2,775,5.1,[3755.0],United States of America,Myanmar
United States of America,Sri Lanka,2018,1,0,0,0,1,0,,0,0,1,1,0,2,780,5.1,[3755.0],United States of America,Sri Lanka
United States of America,Thailand,2018,1,1,0,0,1,1,,0,1,1,2,0,2,800,5.1,"[3260.0, 3755.0]",United States of America,Thailand
United States of America,Cambodia,2018,1,0,0,0,1,0,,0,0,1,1,0,2,811,5.1,[3755.0],United States of America,Cambodia
United States of America,Laos,2018,1,0,0,0,1,0,,0,0,1,1,0,2,812,5.1,[3755.0],United States of America,Laos
United States of America,Vietnam,2018,1,0,0,0,1,0,,0,0,1,1,0,2,816,5.1,[3755.0],United States of America,Vietnam
United States of America,Malaysia,2018,1,0,0,0,1,0,,0,0,1,1,0,2,820,5.1,[3755.0],United States of America,Malaysia
United States of America,Singapore,2018,1,0,0,0,1,0,,0,0,1,1,0,2,830,5.1,[3755.0],United States of America,Singapore
United States of America,Brunei,2018,1,0,0,0,1,0,,0,0,1,1,0,2,835,5.1,[3755.0],United States of America,Brunei
United States of America,Philippines,2018,1,1,0,0,1,1,,0,1,1,2,0,2,840,5.1,"[3210.0, 3755.0]",United States of America,Philippines
United States of America,Indonesia,2018,1,0,0,0,1,0,,0,0,1,1,0,2,850,5.1,[3755.0],United States of America,Indonesia
United States of America,East Timor,2018,1,0,0,0,1,0,,0,0,1,1,0,2,860,5.1,[3755.0],United States of America,East Timor
United States of America,Australia,2018,1,1,0,0,1,1,,0,0,2,2,0,2,900,5.1,"[3215.0, 3755.0]",United States of America,Australia
United States of America,Papua New Guinea,2018,1,0,0,0,1,0,,0,0,1,1,0,2,910,5.1,[3755.0],United States of America,Papua New Guinea
United States of America,New Zealand,2018,1,0,0,0,1,0,,0,0,1,1,0,2,920,5.1,[3755.0],United States of America,New Zealand
United States of America,Kiribati,2018,1,0,0,0,0,1,,0,1,0,1,0,2,946,5.1,[3852.0],United States of America,Kiribati
United States of America,Tuvalu,2018,1,0,0,0,0,1,,0,1,0,1,0,2,947,5.1,[3842.0],United States of America,Tuvalu
Canada,United States of America,2018,1,1,0,0,1,1,,0,0,3,3,0,20,2,5.1,"[3180.0, 3740.0, 3755.0]",Canada,United States of America
Canada,Brazil,2018,1,0,0,0,1,0,,0,0,1,1,0,20,140,5.1,[3755.0],Canada,Brazil
Canada,Chile,2018,1,0,0,0,1,0,,0,0,1,1,0,20,155,5.1,[3755.0],Canada,Chile
Canada,United Kingdom,2018,1,1,0,0,1,1,,0,0,3,3,0,20,200,5.1,"[3180.0, 3740.0, 3755.0]",Canada,United Kingdom
Canada,Ireland,2018,1,0,0,0,1,0,,0,0,1,1,0,20,205,5.1,[3740.0],Canada,Ireland
Canada,Netherlands,2018,1,1,0,0,1,1,,0,0,2,2,0,20,210,5.1,"[3180.0, 3740.0]",Canada,Netherlands
Canada,Belgium,2018,1,1,0,0,1,1,,0,0,2,2,0,20,211,5.1,"[3180.0, 3740.0]",Canada,Belgium
Canada,Luxembourg,2018,1,1,0,0,1,1,,0,0,2,2,0,20,212,5.1,"[3180.0, 3740.0]",Canada,Luxembourg
Canada,France,2018,1,1,0,0,1,1,,0,0,3,3,0,20,220,5.1,"[3180.0, 3740.0, 3755.0]",Canada,France
Canada,Monaco,2018,1,0,0,0,1,0,,0,0,1,1,0,20,221,5.1,[3740.0],Canada,Monaco
Canada,Liechtenstein,2018,1,0,0,0,1,0,,0,0,1,1,0,20,223,5.1,[3740.0],Canada,Liechtenstein
Canada,Switzerland,2018,1,0,0,0,1,0,,0,0,1,1,0,20,225,5.1,[3740.0],Canada,Switzerland
Canada,Spain,2018,1,1,0,0,1,1,,0,0,2,2,0,20,230,5.1,"[3180.0, 3740.0]",Canada,Spain
Canada,Andorra,2018,1,0,0,0,1,0,,0,0,1,1,0,20,232,5.1,[3740.0],Canada,Andorra
Canada,Portugal,2018,1,1,0,0,1,1,,0,0,2,2,0,20,235,5.1,"[3180.0, 3740.0]",Canada,Portugal
Canada,Germany,2018,1,1,0,0,1,1,,0,0,2,2,0,20,255,5.1,"[3180.0, 3740.0]",Canada,Germany
Canada,Poland,2018,1,1,0,0,1,1,,0,0,2,2,0,20,290,5.1,"[3180.0, 3740.0]",Canada,Poland
Canada,Austria,2018,1,0,0,0,1,0,,0,0,1,1,0,20,305,5.1,[3740.0],Canada,Austria
Canada,Hungary,2018,1,1,0,0,1,1,,0,0,2,2,0,20,310,5.1,"[3180.0, 3740.0]",Canada,Hungary
Canada,Czech Republic,2018,1,1,0,0,1,1,,0,0,2,2,0,20,316,5.1,"[3180.0, 3740.0]",Canada,Czech Republic
Canada,Slovakia,2018,1,1,0,0,1,1,,0,0,2,2,0,20,317,5.1,"[3180.0, 3740.0]",Canada,Slovakia
Canada,Italy,2018,1,1,0,0,1,1,,0,0,2,2,0,20,325,5.1,"[3180.0, 3740.0]",Canada,Italy
Canada,San Marino,2018,1,0,0,0,1,0,,0,0,1,1,0,20,331,5.1,[3740.0],Canada,San Marino
Canada,Malta,2018,1,0,0,0,1,0,,0,0,1,1,0,20,338,5.1,[3740.0],Canada,Malta
Canada,Albania,2018,1,1,0,0,1,1,,0,0,2,2,0,20,339,5.1,"[3180.0, 3740.0]",Canada,Albania
Canada,Montenegro,2018,1,1,0,0,1,1,,0,0,2,2,0,20,341,5.1,"[3180.0, 3740.0]",Canada,Montenegro
Canada,Macedonia,2018,1,0,0,0,1,0,,0,0,1,1,0,20,343,5.1,[3740.0],Canada,Macedonia
Canada,Croatia,2018,1,1,0,0,1,1,,0,0,2,2,0,20,344,5.1,"[3180.0, 3740.0]",Canada,Croatia
Canada,Yugoslavia,2018,1,0,0,0,1,0,,0,0,1,1,0,20,345,5.1,[3740.0],Canada,Yugoslavia
Canada,Bosnia and Herzegovina,2018,1,0,0,0,1,0,,0,0,1,1,0,20,346,5.1,[3740.0],Canada,Bosnia and Herzegovina
Canada,Slovenia,2018,1,1,0,0,1,1,,0,0,2,2,0,20,349,5.1,"[3180.0, 3740.0]",Canada,Slovenia
Canada,Greece,2018,1,1,0,0,1,1,,0,0,2,2,0,20,350,5.1,"[3180.0, 3740.0]",Canada,Greece
Canada,Cyprus,2018,1,0,0,0,1,0,,0,0,1,1,0,20,352,5.1,[3740.0],Canada,Cyprus
Canada,Bulgaria,2018,1,1,0,0,1,1,,0,0,2,2,0,20,355,5.1,"[3180.0, 3740.0]",Canada,Bulgaria
Canada,Moldova,2018,1,0,0,0,1,0,,0,0,1,1,0,20,359,5.1,[3740.0],Canada,Moldova
Canada,Romania,2018,1,1,0,0,1,1,,0,0,2,2,0,20,360,5.1,"[3180.0, 3740.0]",Canada,Romania
Canada,Russia,2018,1,0,0,1,1,0,,0,1,2,3,0,20,365,5.1,"[3740.0, 3755.0, 4270.0]",Canada,Russia
Canada,Estonia,2018,1,1,0,0,1,1,,0,0,2,2,0,20,366,5.1,"[3180.0, 3740.0]",Canada,Estonia
Canada,Latvia,2018,1,1,0,0,1,1,,0,0,2,2,0,20,367,5.1,"[3180.0, 3740.0]",Canada,Latvia
Canada,Lithuania,2018,1,1,0,0,1,1,,0,0,2,2,0,20,368,5.1,"[3180.0, 3740.0]",Canada,Lithuania
Canada,Ukraine,2018,1,0,0,0,1,0,,0,1,1,2,0,20,369,5.1,"[3740.0, 4638.0]",Canada,Ukraine
Canada,Belarus,2018,1,0,0,0,1,0,,0,0,1,1,0,20,370,5.1,[3740.0],Canada,Belarus
Canada,Armenia,2018,1,0,0,0,1,0,,0,0,1,1,0,20,371,5.1,[3740.0],Canada,Armenia
Canada,Georgia,2018,1,0,0,0,1,0,,0,0,1,1,0,20,372,5.1,[3740.0],Canada,Georgia
Canada,Azerbaijan,2018,1,0,0,0,1,0,,0,0,1,1,0,20,373,5.1,[3740.0],Canada,Azerbaijan
Canada,Finland,2018,1,0,0,0,1,0,,0,0,1,1,0,20,375,5.1,[3740.0],Canada,Finland
Canada,Sweden,2018,1,0,0,0,1,0,,0,0,1,1,0,20,380,5.1,[3740.0],Canada,Sweden
Canada,Norway,2018,1,1,0,0,1,1,,0,0,3,3,0,20,385,5.1,"[3180.0, 3740.0, 3755.0]",Canada,Norway
Canada,Denmark,2018,1,1,0,0,1,1,,0,0,2,2,0,20,390,5.1,"[3180.0, 3740.0]",Canada,Denmark
Canada,Iceland,2018,1,1,0,0,1,1,,0,0,2,2,0,20,395,5.1,"[3180.0, 3740.0]",Canada,Iceland
Canada,Morocco,2018,1,0,0,0,1,0,,0,0,1,1,0,20,600,5.1,[3755.0],Canada,Morocco
Canada,Turkey,2018,1,1,0,0,1,1,,0,0,3,3,0,20,640,5.1,"[3180.0, 3740.0, 3755.0]",Canada,Turkey
Canada,Egypt,2018,1,0,0,0,1,0,,0,0,1,1,0,20,651,5.1,[3755.0],Canada,Egypt
Canada,Turkmenistan,2018,1,0,0,0,1,0,,0,0,1,1,0,20,701,5.1,[3740.0],Canada,Turkmenistan
Canada,Tajikistan,2018,1,0,0,0,1,0,,0,0,1,1,0,20,702,5.1,[3740.0],Canada,Tajikistan
Canada,Kyrgyzstan,2018,1,0,0,0,1,0,,0,0,1,1,0,20,703,5.1,[3740.0],Canada,Kyrgyzstan
Canada,Uzbekistan,2018,1,0,0,0,1,0,,0,0,1,1,0,20,704,5.1,[3740.0],Canada,Uzbekistan
Canada,Kazakhstan,2018,1,0,0,0,1,0,,0,0,1,1,0,20,705,5.1,[3740.0],Canada,Kazakhstan
Canada,China,2018,1,0,0,0,1,0,,0,0,1,1,0,20,710,5.1,[3755.0],Canada,China
Canada,Mongolia,2018,1,0,0,0,1,0,,0,0,2,2,0,20,712,5.1,"[3740.0, 3755.0]",Canada,Mongolia
Canada,North Korea,2018,1,0,0,0,1,0,,0,0,1,1,0,20,731,5.1,[3755.0],Canada,North Korea
Canada,South Korea,2018,1,0,0,0,1,0,,0,0,1,1,0,20,732,5.1,[3755.0],Canada,South Korea
Canada,Japan,2018,1,0,0,0,1,0,,0,0,1,1,0,20,740,5.1,[3755.0],Canada,Japan
Canada,India,2018,1,0,0,0,1,0,,0,0,1,1,0,20,750,5.1,[3755.0],Canada,India
Canada,Pakistan,2018,1,0,0,0,1,0,,0,0,1,1,0,20,770,5.1,[3755.0],Canada,Pakistan
Canada,Bangladesh,2018,1,0,0,0,1,0,,0,0,1,1,0,20,771,5.1,[3755.0],Canada,Bangladesh
Canada,Myanmar,2018,1,0,0,0,1,0,,0,0,1,1,0,20,775,5.1,[3755.0],Canada,Myanmar
Canada,Sri Lanka,2018,1,0,0,0,1,0,,0,0,1,1,0,20,780,5.1,[3755.0],Canada,Sri Lanka
Canada,Thailand,2018,1,0,0,0,1,0,,0,0,1,1,0,20,800,5.1,[3755.0],Canada,Thailand
Canada,Cambodia,2018,1,0,0,0,1,0,,0,0,1,1,0,20,811,5.1,[3755.0],Canada,Cambodia
Canada,Laos,2018,1,0,0,0,1,0,,0,0,1,1,0,20,812,5.1,[3755.0],Canada,Laos
Canada,Vietnam,2018,1,0,0,0,1,0,,0,0,1,1,0,20,816,5.1,[3755.0],Canada,Vietnam
Canada,Malaysia,2018,1,0,0,0,1,0,,0,0,1,1,0,20,820,5.1,[3755.0],Canada,Malaysia
Canada,Singapore,2018,1,0,0,0,1,0,,0,0,1,1,0,20,830,5.1,[3755.0],Canada,Singapore
Canada,Brunei,2018,1,0,0,0,1,0,,0,0,1,1,0,20,835,5.1,[3755.0],Canada,Brunei
Canada,Philippines,2018,1,0,0,0,1,0,,0,0,1,1,0,20,840,5.1,[3755.0],Canada,Philippines
Canada,Indonesia,2018,1,0,0,0,1,0,,0,0,1,1,0,20,850,5.1,[3755.0],Canada,Indonesia
Canada,East Timor,2018,1,0,0,0,1,0,,0,0,1,1,0,20,860,5.1,[3755.0],Canada,East Timor
Canada,Australia,2018,1,0,0,0,1,0,,0,0,1,1,0,20,900,5.1,[3755.0],Canada,Australia
Canada,Papua New Guinea,2018,1,0,0,0,1,0,,0,0,1,1,0,20,910,5.1,[3755.0],Canada,Papua New Guinea
Canada,New Zealand,2018,1,0,0,0,1,0,,0,0,1,1,0,20,920,5.1,[3755.0],Canada,New Zealand
Bahamas,United States of America,2018,1,1,0,0,1,1,,0,0,2,2,0,31,2,5.1,"[3075.0, 3150.0]",Bahamas,United States of America
Bahamas,Haiti,2018,1,1,0,0,1,1,,0,0,2,2,0,31,41,5.1,"[3075.0, 3150.0]",Bahamas,Haiti
Bahamas,Dominican Republic,2018,1,1,0,0,1,1,,0,0,2,2,0,31,42,5.1,"[3075.0, 3150.0]",Bahamas,Dominican Republic
Bahamas,Jamaica,2018,1,1,0,0,1,1,,0,0,1,1,0,31,51,5.1,[3150.0],Bahamas,Jamaica
Bahamas,Trinidad and Tobago,2018,1,1,0,0,1,1,,0,0,2,2,0,31,52,5.1,"[3075.0, 3150.0]",Bahamas,Trinidad and Tobago
Bahamas,Barbados,2018,1,1,0,0,1,1,,0,0,1,1,0,31,53,5.1,[3150.0],Bahamas,Barbados
Bahamas,Dominica,2018,1,1,0,0,1,1,,0,0,1,1,0,31,54,5.1,[3150.0],Bahamas,Dominica
Bahamas,Grenada,2018,1,1,0,0,1,1,,0,0,1,1,0,31,55,5.1,[3150.0],Bahamas,Grenada
Bahamas,St. Lucia,2018,1,1,0,0,1,1,,0,0,1,1,0,31,56,5.1,[3150.0],Bahamas,St. Lucia
Bahamas,St. Vincent and the Grenadines,2018,1,1,0,0,1,1,,0,0,1,1,0,31,57,5.1,[3150.0],Bahamas,St. Vincent and the Grenadines
Bahamas,Antigua & Barbuda,2018,1,1,0,0,1,1,,0,0,1,1,0,31,58,5.1,[3150.0],Bahamas,Antigua & Barbuda
Bahamas,St. Kitts and Nevis,2018,1,1,0,0,1,1,,0,0,1,1,0,31,60,5.1,[3150.0],Bahamas,St. Kitts and Nevis
Bahamas,Mexico,2018,1,1,0,0,1,1,,0,0,1,1,0,31,70,5.1,[3150.0],Bahamas,Mexico
Bahamas,Belize,2018,1,1,0,0,1,1,,0,0,1,1,0,31,80,5.1,[3150.0],Bahamas,Belize
Bahamas,Guatemala,2018,1,1,0,0,1,1,,0,0,2,2,0,31,90,5.1,"[3075.0, 3150.0]",Bahamas,Guatemala
Bahamas,Honduras,2018,1,1,0,0,1,1,,0,0,2,2,0,31,91,5.1,"[3075.0, 3150.0]",Bahamas,Honduras
